#X	Y	Z	HWP_power	HWP_stepper	pmtA_signal	pmtB_signal	time
28.6883	39.692	29.9992	0.0	159.977578	0.0006444405	0.0135300366	1526483403.906888
28.6871	39.696	30.0014	0.0	161.995516	0.0007023637	0.0124814561	1526483404.135901
28.6875	39.6987	30.003	0.0	164.013453	0.0006788724	0.0130690007	1526483404.329912
28.6876	39.6968	30.0041	0.0	165.975336	0.0007093719	0.0134573404	1526483404.5259233
28.688	39.6941	30.0001	0.0	167.993274	0.000702819	0.0117153174	1526483404.7379353
28.6885	39.6977	29.9999	0.0	170.011211	0.0006195389	0.0132862651	1526483404.9389467
28.6882	39.694	30.0001	0.0	171.973094	0.0006884673	0.012767309	1526483405.1639597
28.6867	39.6967	29.9988	0.0	173.991031	0.0007011088	0.0117275129	1526483405.359971
28.6873	39.6935	29.998	0.0	176.008969	0.0006457139	0.0109705416	1526483405.5969846
28.6875	39.6945	30.0034	0.0	178.026906	0.0006762503	0.0117522745	1526483405.7909956
28.6874	39.6918	29.9991	0.0	179.988789	0.0005977393	0.0111356345	1526483405.991007
28.6885	39.6952	30.0024	0.0	182.006726	0.0005576249	0.0093583477	1526483406.2090197
28.6886	39.6954	29.9999	0.0	184.024664	0.0005820712	0.0086132059	1526483406.4140313
28.6888	39.6953	30.0009	0.0	185.986547	0.0005484883	0.0087244925	1526483406.6140425
28.6872	39.6912	29.9985	0.0	188.004484	0.000688878	0.0071558932	1526483406.8150542
28.6875	39.6949	30.0007	0.0	190.022422	0.0006675043	0.0055457077	1526483407.0460675
28.6871	39.693	29.9999	0.0	191.984305	0.0006923767	0.0061056887	1526483407.26608
28.6867	39.6919	29.9992	0.0	194.002242	0.0006169537	0.0051971549	1526483407.5180943
28.6874	39.6945	29.997	0.0	196.020179	0.0006108099	0.0051272699	1526483407.7141056
28.6882	39.6973	30.0012	0.0	197.982063	0.0006213075	0.004707974	1526483407.9571195
28.6874	39.691	29.9979	0.0	200.0	0.0006326295	0.0049347226	1526483408.2041337
28.6883	39.6957	30.0003	0.0	202.017937	0.0006369894	0.0054548536	1526483408.4061453
28.6894	39.6946	30.0005	0.0	203.979821	0.000779566	0.0045684194	1526483408.6231575
28.6885	39.6951	30.0016	0.0	205.997758	0.0006631428	0.0038785787	1526483408.8311696
28.6867	39.6967	30.0021	0.0	208.015695	0.000607811	0.0043130629	1526483409.046182
28.6871	39.6918	29.9996	0.0	209.977578	0.0006557148	0.0046372616	1526483409.2421932
28.6865	39.6943	30.0004	0.0	211.995516	0.0007032834	0.0049960768	1526483409.4952073
28.6882	39.6928	29.9995	0.0	214.013453	0.0006614035	0.0045306825	1526483409.71122
28.6884	39.6926	29.9983	0.0	215.975336	0.0006500554	0.0046635981	1526483409.9222322
28.6884	39.6959	30.0	0.0	217.993274	0.0005851147	0.0051467797	1526483410.1182432
28.6879	39.6957	30.001	0.0	220.011211	0.000572464	0.0040840936	1526483410.346256
28.6878	39.696	30.0023	0.0	221.973094	0.0006313515	0.0050468827	1526483410.5412674
28.6882	39.6937	30.0018	0.0	223.991031	0.0005872939	0.0056430087	1526483410.76428
28.6883	39.6965	30.001	0.0	226.008969	0.0006666539	0.0056186177	1526483410.990293
28.6879	39.6935	29.9989	0.0	228.026906	0.0006732099	0.0061269408	1526483411.2003052
28.6886	39.6942	30.0007	0.0	229.988789	0.0006112681	0.0068248293	1526483411.425318
28.6876	39.6946	30.0004	0.0	232.006726	0.0006330832	0.0065922875	1526483411.7023337
28.6875	39.6916	30.0002	0.0	234.024664	0.0006579278	0.0073778728	1526483411.931347
28.6883	39.6962	30.0019	0.0	235.986547	0.0006012149	0.0084702587	1526483412.129358
28.6882	39.6927	29.9969	0.0	238.004484	0.0006566145	0.0092275975	1526483412.33337
28.6884	39.6955	30.0018	0.0	240.022422	0.0005755014	0.0089408726	1526483412.5343814
28.6877	39.6982	30.0037	0.0	241.984305	0.0006378737	0.0107415185	1526483412.753394
28.6882	39.6917	29.9973	0.0	244.002242	0.0007342274	0.0117104039	1526483412.9504051
28.6878	39.6959	30.0005	0.0	246.020179	0.0006182256	0.0122062854	1526483413.1504166
28.6874	39.6942	29.9983	0.0	247.982063	0.0006256352	0.0119195512	1526483413.3724294
28.6879	39.6921	29.999	0.0	250.0	0.0006971826	0.0114805595	1526483413.5724406
28.688	39.6977	30.0003	0.0	252.017937	0.0007617126	0.0126896654	1526483413.7664516
28.6882	39.6937	30.0011	0.0	253.979821	0.0006605407	0.0135083169	1526483413.9684634
28.6872	39.6954	30.0017	0.0	255.997758	0.0006727593	0.0136385796	1526483414.1634743
28.6875	39.694	30.0001	0.0	258.015695	0.0007438146	0.0122568329	1526483414.3734865
28.6887	39.6923	30.0004	0.0	259.977578	0.000652273	0.0129238097	1526483414.5774982
28.6884	39.6968	30.0029	0.0	261.995516	0.0006404466	0.0115222995	1526483414.7745097
28.688	39.6941	30.0004	0.0	264.013453	0.0006256475	0.0121202248	1526483414.995522
28.6882	39.6956	30.0015	0.0	265.975336	0.0007211245	0.0118688131	1526483415.1915333
28.6873	39.6963	30.0009	0.0	267.993274	0.0006527113	0.0106367603	1526483415.4145463
28.6876	39.6925	29.997	0.0	270.011211	0.0007211414	0.0093445528	1526483415.6115575
28.6874	39.6928	30.0003	0.0	271.973094	0.0005846564	0.0077072604	1526483415.83457
28.688	39.6958	30.0002	0.0	273.991031	0.0005493218	0.007848885	1526483416.0315814
28.6876	39.6981	30.0018	0.0	276.008969	0.0007778313	0.0070471995	1526483416.250594
28.6872	39.6956	30.0018	0.0	278.026906	0.0005698296	0.0069998339	1526483416.4566057
28.6873	39.6915	29.9982	0.0	279.988789	0.0005480284	0.0069534049	1526483416.6616175
28.6874	39.6959	30.0014	0.0	282.006726	0.0007141763	0.0056121463	1526483416.8576286
28.6875	39.6951	29.999	0.0	284.024664	0.000617372	0.0052193175	1526483417.0766413
28.6879	39.694	29.9989	0.0	285.986547	0.0005620033	0.0056146869	1526483417.2906535
28.6883	39.6944	30.0006	0.0	288.004484	0.000630012	0.0046888241	1526483417.4986653
28.6877	39.6975	30.0026	0.0	290.022422	0.0006566222	0.0050195189	1526483417.703677
28.6876	39.691	30.0008	0.0	291.984305	0.0006513641	0.0048883197	1526483417.9016883
28.6878	39.6979	30.0024	0.0	294.002242	0.00062916	0.005036362	1526483418.1016998
28.687	39.6959	30.0021	0.0	296.020179	0.0006226055	0.0041006213	1526483418.301711
28.6883	39.6925	30.0019	0.0	297.982063	0.000707225	0.0040884273	1526483418.4947224
28.6886	39.6922	29.9999	0.0	300.0	0.0006806133	0.0040267717	1526483418.7257354
28.6882	39.6942	30.0005	0.0	302.017937	0.0006243633	0.0050960061	1526483418.9377477
28.6885	39.6945	30.0006	0.0	303.979821	0.0007351639	0.0041001984	1526483419.1437593
28.6873	39.6946	29.999	0.0	305.997758	0.000648336	0.0048899806	1526483419.348771
28.6868	39.6923	29.9986	0.0	308.015695	0.0006370186	0.0042530358	1526483419.5667834
28.6878	39.694	29.9989	0.0	309.977578	0.0006212645	0.0043156957	1526483419.7937965
28.688	39.6931	30.0019	0.0	311.995516	0.0006260934	0.0051737666	1526483420.0228095
28.6885	39.6938	30.0009	0.0	314.013453	0.0006147515	0.0057663939	1526483420.253823
28.6885	39.6948	30.0016	0.0	315.975336	0.0005602531	0.0063715813	1526483420.4558344
28.6876	39.6934	30.0008	0.0	317.993274	0.0005615373	0.0064749985	1526483420.707849
28.6888	39.6944	30.0001	0.0	320.011211	0.0005807179	0.0078137534	1526483420.9178607
28.6864	39.6929	29.9978	0.0	321.973094	0.000659681	0.0080175181	1526483421.1828759
28.6882	39.6936	30.0007	0.0	323.991031	0.0006418476	0.0078619525	1526483421.4068887
28.688	39.6925	29.9989	0.0	326.008969	0.0006387088	0.0095843043	1526483421.6039002
28.6879	39.696	30.0008	0.0	328.026906	0.0006722964	0.0096834292	1526483421.8059118
28.6879	39.6913	29.9991	0.0	329.988789	0.0006239404	0.0104925689	1526483422.0579262
28.6878	39.6916	29.9968	0.0	332.006726	0.0006374047	0.0117574034	1526483422.3269415
28.6876	39.6939	29.9988	0.0	334.024664	0.0007704186	0.0126286986	1526483422.524953
28.6871	39.6897	29.9959	0.0	335.986547	0.0006082	0.0128086184	1526483422.7419653
