#X	Y	Z	HWP_power	HWP_stepper	pmtA_signal	pmtB_signal	time
26.1285	38.3441	29.9993	0.0	358.015695	0.0008441037	0.0121934317	1526483335.6529841
26.1285	38.348	30.0041	0.0	-0.0	0.0007970442	0.0116762442	1526483337.488089
26.129	38.3495	30.0019	0.0	2.017937	0.0008066099	0.0110395685	1526483337.6931007
26.1281	38.3468	29.9991	0.0	3.979821	0.000716354	0.0116345242	1526483337.9611158
26.1292	38.3488	29.9975	0.0	5.997758	0.000745577	0.0121625154	1526483338.168128
26.1285	38.3457	30.0014	0.0	8.015695	0.0007782757	0.0108710046	1526483338.361139
26.1281	38.3444	29.9985	0.0	9.977578	0.0007119756	0.0114932779	1526483338.5811515
26.1284	38.3486	29.9999	0.0	11.995516	0.0007861097	0.0110361297	1526483338.779163
26.1289	38.3475	30.0019	0.0	14.013453	0.0005955739	0.0110239588	1526483339.011176
26.1283	38.3469	29.9986	0.0	15.975336	0.0005816022	0.0099619894	1526483339.2281885
26.1286	38.3462	30.0005	0.0	17.993274	0.0005986297	0.0097334138	1526483339.4392004
26.1282	38.3475	29.999	0.0	20.011211	0.0006339582	0.0105029835	1526483339.6352117
26.1281	38.347	29.9981	0.0	21.973094	0.0005995125	0.0093514518	1526483339.829223
26.1286	38.3489	30.0	0.0	23.991031	0.0007080955	0.0088573757	1526483340.0522356
26.1278	38.3448	29.9998	0.0	26.008969	0.0005894547	0.0082574188	1526483340.2452466
26.1291	38.3511	30.0035	0.0	28.026906	0.0005794199	0.0085683455	1526483340.4912608
26.1291	38.3465	30.0012	0.0	29.988789	0.0005424013	0.0082582616	1526483340.6952724
26.1287	38.351	29.9997	0.0	32.006726	0.000606453	0.0079554088	1526483340.8962839
26.1296	38.3463	30.0003	0.0	34.024664	0.0006091197	0.0079471364	1526483341.110296
26.128	38.3458	30.0	0.0	35.986547	0.0005480207	0.0069264149	1526483341.3113074
26.1285	38.3482	30.0006	0.0	38.004484	0.0006662202	0.0066653113	1526483341.512319
26.1278	38.3475	30.002	0.0	40.022422	0.0006718935	0.0070164155	1526483341.7303317
26.1264	38.3459	30.0003	0.0	41.984305	0.0005170968	0.0067666231	1526483341.9663453
26.1281	38.3483	30.0004	0.0	44.002242	0.0005812054	0.0070098979	1526483342.1733568
26.1275	38.3432	29.997	0.0	46.020179	0.0005253491	0.0064458984	1526483342.3773687
26.1287	38.3446	29.9977	0.0	47.982063	0.0007028313	0.0058406758	1526483342.5793803
26.1288	38.3454	29.9995	0.0	50.0	0.0005938207	0.0061713537	1526483342.7843919
