#X	Y	Z	pmtA_signal	pmtB_signal	time
26.6566658	75.90349579	26.99726868	0.0005219489470554464	0.020537314427493437	1527010677.056902
26.445364	75.91398621	26.99913025	0.00048695353510498694	0.020939691498523625	1527010677.2099106
26.240942	75.91196442	26.99963379	0.0004356282552083334	0.020960379372744423	1527010677.3709197
26.04194641	75.9156723	27.00040436	0.0005263242546341863	0.021322800043061026	1527010677.507928
25.84090424	75.91464233	26.99925995	0.00048278584317585304	0.021114383407152233	1527010677.6539361
25.64171791	75.9131546	26.99924469	0.0004867491234005907	0.021395725039985235	1527010677.8009443
25.4411602	75.91532135	27.00083923	0.00038647653174212604	0.02182977310941601	1527010677.9239516
25.24023437	75.91692352	26.99893951	0.00042259332451607625	0.021508516727157156	1527010678.0509586
25.04100037	75.9175415	27.0	0.0004571991367290026	0.022958458927985564	1527010678.1719656
24.83873367	75.91646576	26.99949646	0.0004902042579150264	0.02272266778420276	1527010678.3259745
24.64156914	75.91435242	26.9995575	0.0004388821819635828	0.023338898586163063	1527010678.4559817
24.43961906	75.91303253	27.00099182	0.00041734398068405526	0.024003319928026574	1527010678.6029904
24.24002647	75.91561127	27.00136566	0.0004281816457513124	0.02254792461245079	1527010678.7449985
24.038414	75.91490936	26.9990387	0.0004176650159940946	0.02238039352136647	1527010678.9140081
23.83952522	75.91397095	27.00171661	0.00042910245960465885	0.022456916548761485	1527010679.084018
23.6381588	75.91293335	27.00019073	0.0004602678754511156	0.021907138774401248	1527010679.225026
23.43806076	75.91455841	26.99965668	0.00043904750553641733	0.023843202766158134	1527010679.3780346
23.23705673	75.91160583	26.99659729	0.0004644746555118111	0.022475989634596457	1527010679.5290432
23.03858376	75.91682434	27.00042725	0.00041857237327755907	0.022538780552821526	1527010679.6960528
22.83641624	75.91149139	26.99791718	0.0005025599522227691	0.022299487496924217	1527010679.8500617
22.63827133	75.91446686	26.9998703	0.00044668763328412076	0.02330338926140092	1527010679.9870694
22.43725967	75.9131546	27.0	0.00040969424110072185	0.024751691042281827	1527010680.1650798
22.23859024	75.91519165	27.00281525	0.0004116838910761156	0.02619792948244751	1527010680.3160884
22.03964615	75.91699982	27.00118256	0.0005188552175606956	0.025760094349778544	1527010680.4780977
21.83769608	75.91443634	27.00032043	0.0004682540292814962	0.024207199777518045	1527010680.6431072
21.6376133	75.91564178	27.0014801	0.00046608688074146993	0.02425281114152723	1527010680.8061163
21.43552971	75.91472626	27.00003815	0.000446662001722441	0.025354257017921586	1527010680.9711258
21.23643494	75.91595459	26.99951935	0.00044141073552329406	0.025080172320989174	1527010681.1261346
21.03707504	75.9148407	27.00054169	0.0004463108493274279	0.023667559285802168	1527010681.2831438
20.83783913	75.91559601	26.99858856	0.0004671826300032809	0.02307036312233432	1527010681.443153
20.63639259	75.91142273	26.99895477	0.0004843929420931759	0.02390059183275919	1527010681.585161
20.43669701	75.91661072	27.00056458	0.00044340679338910764	0.023438111953535106	1527010681.7571707
20.23732185	75.91177368	26.99769592	0.0004668077684137141	0.022897433383571197	1527010681.9261804
20.03795624	75.91281128	26.99851227	0.00040460060900590557	0.023815844278010173	1527010682.0811892
19.83705902	75.91483307	26.9992981	0.0005083840838254594	0.023563789908341536	1527010682.251199
19.63600349	75.91750336	27.00299835	0.000524675504429134	0.02341088803108596	1527010682.409208
19.43571854	75.91578674	26.99873352	0.0005117930815288715	0.023595579452714895	1527010682.5672169
19.23526955	75.91422272	26.99899292	0.000487305969078084	0.0229148788652395	1527010682.7352266
19.03577232	75.91247559	27.00077057	0.0004584832779691602	0.023607398806594487	1527010682.8882356
18.83626366	75.91596222	27.00130463	0.00043670542158792664	0.02422740385601214	1527010683.0432444
18.83915138	76.11824799	27.00082397	0.00043108313853346467	0.02383231576033465	1527010683.2022533
19.04022408	76.11251831	26.99905396	0.00047171621247539373	0.023437346210629924	1527010683.3532622
