#X	Y	Z	HWP_power	HWP_stepper	pmtA_signal	pmtB_signal	time
20.8211	77.8679	26.9996	3.000039	358.0	0.0003730546	0.0354387451	1527010965.660409
20.8212	77.8735	27.0021	3.000039	-0.015695	0.0004450549	0.0348307548	1527010967.496514
20.8202	77.8679	26.9998	3.000039	2.002242	0.0004354354	0.0336784207	1527010967.77553
20.8204	77.8701	27.0008	3.000039	4.020179	0.0004198443	0.0337976363	1527010968.106549
20.821	77.8654	27.0014	3.000039	5.982063	0.0004254551	0.0353022794	1527010968.3615637
20.8207	77.8706	26.9996	3.000039	8.0	0.0004310934	0.0355944344	1527010968.614578
20.8209	77.8642	26.9996	3.000039	10.017937	0.0003904661	0.0330639456	1527010968.8655922
20.8206	77.8672	27.0005	3.000039	11.979821	0.000353829	0.0349699951	1527010969.1136067
20.8212	77.8682	27.0011	3.000039	13.997758	0.000394842	0.031229671	1527010969.3676212
20.8201	77.8727	27.0003	3.000039	16.015695	0.000412053	0.0330048392	1527010969.6206357
20.8201	77.8702	26.9996	3.000039	17.977578	0.0003574469	0.0318295424	1527010969.855649
20.8202	77.8721	27.0005	3.000039	19.995516	0.0004036977	0.0328252966	1527010970.1306646
20.8207	77.8695	26.9997	3.000039	22.013453	0.0004091444	0.034021387	1527010970.380679
20.8207	77.8684	27.0007	3.000039	23.975336	0.0004261856	0.0289732893	1527010970.624693
20.8195	77.8693	26.9998	3.000039	25.993274	0.0003574968	0.0290607603	1527010970.9267104
20.8213	77.8672	26.998	3.000039	28.011211	0.0004249232	0.0291023859	1527010971.1717243
20.8213	77.8675	26.9999	3.000039	29.973094	0.0004579239	0.028641021	1527010971.4257388
20.8219	77.8691	27.0	3.000039	31.991031	0.0003884643	0.0279372905	1527010971.6807535
20.8208	77.8709	27.0002	3.000039	34.008969	0.0004209401	0.0280629716	1527010971.933768
20.8208	77.8686	27.0009	3.000039	36.026906	0.0004429012	0.0286892372	1527010972.1697814
