#X	Y	Z	HWP_power	HWP_stepper	pmtA_signal	pmtB_signal	time
24.8891	82.0887	27.0	3.000039	358.0	0.000467	0.0306472482	1527011090.4325454
24.8901	82.0848	27.0004	3.000039	-0.015695	0.0004265867	0.0266130711	1527011092.310653
24.8891	82.0851	27.0011	3.000039	2.002242	0.0004463217	0.0235965919	1527011092.6096702
24.8899	82.0843	26.9988	3.000039	4.020179	0.0004837028	0.0343311124	1527011092.9096873
24.8896	82.085	26.9995	3.000039	5.982063	0.0004893065	0.0398920943	1527011093.1627018
24.8893	82.0796	26.9966	3.000039	8.0	0.0004499492	0.0263008338	1527011093.4867203
24.8901	82.0854	27.0025	3.000039	10.017937	0.0004963552	0.030245057	1527011093.762736
24.8893	82.0865	27.0017	3.000039	11.979821	0.0004874918	0.0314273159	1527011094.0177507
24.8879	82.0814	26.9998	3.000039	13.997758	0.0004575817	0.0269307454	1527011094.3127675
24.8896	82.0856	26.9979	3.000039	16.015695	0.0005019788	0.0238677386	1527011094.5887833
24.8906	82.0868	27.0014	3.000039	17.977578	0.0004337885	0.0311697316	1527011094.8347974
24.8893	82.0851	26.9976	3.000039	19.995516	0.0004477629	0.0323440832	1527011095.1188138
24.8907	82.0868	27.0028	3.000039	22.013453	0.0004584839	0.0293619696	1527011095.3828287
24.8896	82.083	26.9992	3.000039	23.975336	0.0004595938	0.0347835607	1527011095.635843
24.8899	82.0823	27.001	3.000039	25.993274	0.0004854951	0.033741202	1527011095.8928578
24.8894	82.0824	26.9995	3.000039	28.011211	0.0004566455	0.0321801982	1527011096.158873
24.8892	82.085	27.0014	3.000039	29.973094	0.0004874854	0.0298316455	1527011096.4108877
24.8899	82.0862	27.0012	3.000039	31.991031	0.0004430672	0.0299992311	1527011096.7009041
24.8896	82.0828	26.9995	3.000039	34.008969	0.0004417753	0.0309357763	1527011096.9349174
24.8899	82.0862	27.0015	3.000039	36.026906	0.0004443315	0.0293509864	1527011097.1929324
24.891	82.0817	26.9993	3.000039	37.988789	0.0004515903	0.0366341594	1527011097.4599476
24.8889	82.0875	27.0006	3.000039	40.006726	0.0004911161	0.0358285274	1527011097.749964
24.8899	82.0863	27.0023	3.000039	42.024664	0.0004579354	0.0280284876	1527011098.0189795
24.89	82.0834	27.0025	3.000039	43.986547	0.0005077997	0.0428240438	1527011098.292995
24.8895	82.0833	27.0001	3.000039	46.004484	0.0004444942	0.0430916277	1527011098.570011
24.8898	82.0854	27.0018	3.000039	48.022422	0.0004214828	0.0414241312	1527011098.8260257
24.8885	82.0798	26.9975	3.000039	49.984305	0.000465935	0.0464933525	1527011099.098041
24.8893	82.083	26.999	3.000039	52.002242	0.0004724224	0.0415869653	1527011099.406059
24.8896	82.0787	26.9971	3.000039	54.020179	0.0005069077	0.0471997839	1527011099.6620736
24.8904	82.0847	26.9991	3.000039	55.982063	0.0004738975	0.048040089	1527011099.9550903
24.8909	82.0824	26.9992	3.000039	58.0	0.0004564847	0.0309268917	1527011100.231106
24.8907	82.088	27.0017	3.000039	60.017937	0.0004635538	0.0333990687	1527011100.5791261
24.8896	82.0835	26.9997	3.000039	61.979821	0.000496732	0.0350965733	1527011100.8841434
24.8899	82.0834	26.9984	3.000039	63.997758	0.0004650059	0.0491650999	1527011101.1621594
24.89	82.0816	26.9982	3.000039	66.015695	0.0004590465	0.0421577514	1527011101.416174
24.89	82.0869	27.001	3.000039	67.977578	0.0005377265	0.0454357013	1527011101.684189
24.8904	82.0872	26.9993	3.000039	69.995516	0.0004359973	0.043120806	1527011101.9262028
24.8902	82.0852	26.9999	3.000039	72.013453	0.0004254621	0.0322584257	1527011102.203219
24.89	82.0869	27.0013	3.000039	73.975336	0.0004397947	0.0412210395	1527011102.4692342
24.8881	82.0837	27.0002	3.000039	75.993274	0.0004076886	0.0375380052	1527011102.711248
24.891	82.0884	27.0024	3.000039	78.011211	0.0005086994	0.0311315149	1527011103.0022645
24.8893	82.0816	27.001	3.000039	79.973094	0.0004343371	0.0306689774	1527011103.3302832
24.8895	82.0844	26.9992	3.000039	81.991031	0.0005214107	0.0349546161	1527011103.5942984
24.8903	82.085	27.0004	3.000039	84.008969	0.0004820624	0.0266057821	1527011103.9313178
24.8897	82.0828	27.0003	3.000039	86.026906	0.0004571979	0.0296386815	1527011104.1873324
24.8894	82.0839	26.9996	3.000039	87.988789	0.0004799023	0.030356881	1527011104.441347
24.8898	82.0824	27.0013	3.000039	90.006726	0.0004035305	0.031698626	1527011104.7233632
24.8902	82.0842	26.9989	3.000039	92.024664	0.0004218519	0.0237277294	1527011104.9773777
24.8901	82.0832	26.9995	3.000039	93.986547	0.0004162181	0.0318260565	1527011105.2293918
24.8895	82.086	27.0001	3.000039	96.004484	0.0004697259	0.0272211542	1527011105.5054078
24.8893	82.0831	26.9988	3.000039	98.022422	0.0004836721	0.0261188016	1527011105.7644224
24.8897	82.0875	27.0004	3.000039	99.984305	0.0004532352	0.0283898189	1527011106.0114367
24.889	82.0853	27.001	3.000039	102.002242	0.0005014386	0.0271636819	1527011106.2954528
24.8898	82.0844	26.9987	3.000039	104.020179	0.0005096464	0.0297635008	1527011106.5674686
24.891	82.0853	27.0005	3.000039	105.982063	0.0004359941	0.0290070045	1527011106.8234832
24.8894	82.0846	27.0009	3.000039	108.0	0.0003630551	0.0223869007	1527011107.0984988
24.8897	82.0865	26.9999	3.000039	110.017937	0.000429287	0.0247908272	1527011107.3695145
24.889	82.0843	27.0	3.000039	111.979821	0.0004638992	0.0213428119	1527011107.623529
