#X	Y	Z	HWP_power	HWP_stepper	pmtA_signal	pmtB_signal	time
20.7613	82.176	26.9999	3.000039	358.0	0.0004234693	0.0345760123	1527011026.763904
20.7618	82.1705	26.9988	3.000039	-0.015695	0.0004864082	0.0277299151	1527011028.6060092
20.7612	82.1704	26.9972	3.000039	2.002242	0.0004339878	0.0418555745	1527011028.8760247
20.7618	82.1736	27.0001	3.000039	4.020179	0.0004196515	0.0390772638	1527011029.109038
20.76	82.1781	27.0012	3.000039	5.982063	0.0004281842	0.0343521527	1527011029.3770535
20.7617	82.1706	26.9986	3.000039	8.0	0.0003888359	0.0358012426	1527011029.6170673
20.762	82.1741	26.9985	3.000039	10.017937	0.0003643559	0.0272475515	1527011029.9090838
20.7619	82.1705	26.9987	3.000039	11.979821	0.0003785391	0.0260132701	1527011030.1931
20.7622	82.1743	26.9995	3.000039	13.997758	0.0004118704	0.0293738466	1527011030.437114
20.7615	82.1732	26.9999	3.000039	16.015695	0.0004020714	0.0311096608	1527011030.6731277
20.7625	82.1716	26.9989	3.000039	17.977578	0.0004242011	0.0354944777	1527011030.9071412
20.762	82.1708	26.9988	3.000039	19.995516	0.0004024411	0.0315475087	1527011031.1651556
20.7622	82.1747	27.0019	3.000039	22.013453	0.0003563825	0.0344558484	1527011031.4061697
20.761	82.1729	26.9999	3.000039	23.975336	0.0004241947	0.0300956217	1527011031.696186
20.7625	82.1706	26.997	3.000039	25.993274	0.0003752281	0.0284982692	1527011031.955201
20.7621	82.1754	26.9988	3.000039	28.011211	0.0004410564	0.0245213562	1527011032.2332168
20.7621	82.1771	27.0014	3.000039	29.973094	0.0003960704	0.0310186495	1527011032.4982321
20.7611	82.1711	27.0	3.000039	31.991031	0.0004613739	0.0238587611	1527011032.7752478
20.7613	82.1716	26.9986	3.000039	34.008969	0.000432539	0.0286556278	1527011033.0492637
20.7616	82.1719	27.0009	3.000039	36.026906	0.0004174785	0.028074038	1527011033.2932775
20.7619	82.1726	26.9987	3.000039	37.988789	0.0003634293	0.0325779167	1527011033.5692933
20.761	82.175	26.9992	3.000039	40.006726	0.0004336277	0.0290990218	1527011033.8683102
20.7607	82.174	26.9997	3.000039	42.024664	0.0003993372	0.0302948911	1527011034.1353257
20.7612	82.1725	27.0015	3.000039	43.986547	0.0004183769	0.035357964	1527011034.38734
20.7619	82.1769	27.0003	3.000039	46.004484	0.0004600981	0.0255071493	1527011034.6453547
20.7614	82.1685	26.999	3.000039	48.022422	0.000457936	0.0313208456	1527011034.8753679
20.7622	82.1713	26.999	3.000039	49.984305	0.000397714	0.0340234471	1527011035.1833856
20.7618	82.1701	26.9988	3.000039	52.002242	0.0004807667	0.0332923453	1527011035.451401
20.7622	82.1745	27.0019	3.000039	54.020179	0.0003621663	0.0316904656	1527011035.7144158
20.7614	82.1737	27.0	3.000039	55.982063	0.000412415	0.0332915923	1527011035.9934318
20.762	82.1739	26.9987	3.000039	58.0	0.0004074938	0.0338640412	1527011036.2494464
20.7609	82.1728	26.9998	3.000039	60.017937	0.0003991686	0.0316996577	1527011036.48446
20.7626	82.1687	26.9998	3.000039	61.979821	0.0003767096	0.0316631648	1527011036.813479
20.7617	82.171	26.9976	3.000039	63.997758	0.0003993436	0.0317059118	1527011037.0534925
20.7624	82.1729	26.9992	3.000039	66.015695	0.0004704507	0.0269017401	1527011037.3505096
20.762	82.1741	26.9987	3.000039	67.977578	0.0003672484	0.0346525546	1527011037.6865287
20.7617	82.1718	26.9996	3.000039	69.995516	0.0004258581	0.0311560796	1527011037.9775455
20.7616	82.1733	27.0015	3.000039	72.013453	0.0003826722	0.0319781895	1527011038.2235594
20.7623	82.169	26.9973	3.000039	73.975336	0.0004129411	0.0339242722	1527011038.4665732
20.7621	82.1718	27.0008	3.000039	75.993274	0.0003699589	0.0294930526	1527011038.7275884
20.7612	82.1721	26.9983	3.000039	78.011211	0.0004167839	0.0306182044	1527011038.9686022
20.7617	82.172	27.0009	3.000039	79.973094	0.0004053298	0.0321882561	1527011039.2176163
20.7612	82.1765	27.0009	3.000039	81.991031	0.0004328844	0.0256619127	1527011039.5026326
20.7615	82.1723	26.9999	3.000039	84.008969	0.0004198405	0.0323486008	1527011039.7636476
20.7609	82.1718	26.9976	3.000039	86.026906	0.0004067895	0.0235301997	1527011040.034663
20.7619	82.1735	26.9998	3.000039	87.988789	0.0004015178	0.029181847	1527011040.2846773
20.7623	82.1755	27.0021	3.000039	90.006726	0.0004341717	0.0282843034	1527011040.560693
20.7616	82.1712	27.0011	3.000039	92.024664	0.0004227324	0.0232461796	1527011040.8357089
