	ex_wl	z
0	710.0	41.50139581950847
1	715.0	41.68518335530789
2	720.0	41.75094318661967
3	725.0	41.879513001689894
4	730.0	41.91754903969522
5	735.0	42.000799931793786
6	740.0	42.190922149182
7	745.0	42.41374493080469
8	750.0	42.59581355681517
9	755.0	42.60122788538974
10	760.0	42.674936790444605
11	765.0	42.674936790444605
12	770.0	42.692160965238905
13	775.0	42.692160965238905
14	780.0	42.72472415768245
15	785.0	42.74131090934115
16	790.0	42.78660860725355
17	795.0	42.78660860725355
18	800.0	42.86136968297635
19	805.0	42.91420705109739
20	810.0	42.96814088623085
21	815.0	43.000281114005155
22	820.0	43.00811628529721
23	825.0	43.11640096104802
24	830.0	43.14040534247521
25	835.0	43.22875043059025
26	840.0	43.31459037429093
27	845.0	43.388629904958606
28	850.0	43.41082118611321
29	855.0	43.42780690345
30	860.0	43.4521886274225
31	865.0	43.585139148785494
32	870.0	43.65168600407046
33	875.0	43.83243730435781
34	880.0	43.873187579958426
35	885.0	43.92179702658842
36	890.0	43.92179702658842
37	895.0	43.92179702658842
38	900.0	43.92179702658842
39	905.0	43.92179702658842
40	910.0	43.981184774082294
41	915.0	44.054187904510954
42	920.0	44.17238541241026
43	925.0	44.192626373813894
44	930.0	44.30148378691034
45	935.0	44.43251924146666
46	940.0	44.50940830921624
47	945.0	44.660051040666104
48	950.0	44.660051040666104
49	950.0	44.75080715804701
50	955.0	44.75659792730314
51	955.0	44.854844572033215
52	960.0	44.854844572033215
53	960.0	44.857019693225894
54	965.0	44.93756178124591
55	965.0	44.946995842962494
56	970.0	45.074448870974905
57	970.0	45.099222080556544
58	975.0	45.099222080556544
59	975.0	45.27562729298604
60	980.0	45.296654110311145
61	980.0	45.38775814937502
62	985.0	45.490889669046574
63	985.0	45.512182355212495
64	990.0	45.62911715408156
65	990.0	45.666085992302605
66	995.0	45.69955732898068
67	995.0	45.73334310746532
68	1000.0	45.76321879200863
69	1000.0	45.88225253873148
70	1005.0	45.89049136491957
71	1005.0	45.96345947636483
72	1010.0	46.045882320123546
73	1010.0	46.067742191339036
74	1015.0	46.16522925885644
75	1015.0	46.20440260202249
76	1020.0	46.276475123455505
77	1020.0	46.36454457128414
78	1025.0	46.37792031330899
79	1025.0	46.48445119469595
80	1030.0	46.545774543310394
81	1030.0	46.603538171742095
82	1035.0	46.6220350470265
83	1040.0	46.721695331563865
84	1045.0	46.81990395448432
85	1050.0	46.909567723106385
86	1055.0	47.022863588874856
87	1060.0	47.089623480874366
88	1065.0	47.176908894221214
89	1070.0	47.25344427164146
90	1075.0	47.35007618792465
91	1080.0	47.440666146785574
92	1085.0	47.53028439791687
93	1090.0	47.643174263006614
94	1095.0	47.77787198530282
95	1100.0	47.900076435052746
96	1105.0	47.960749717510424
97	1110.0	48.059419480911366
98	1115.0	48.14933801315425
99	1120.0	48.22139622910569
100	1125.0	48.35116145350636
101	1130.0	48.419835036455915
102	1135.0	48.513026677736256
103	1140.0	48.560973196838255
104	1145.0	48.62196766865551
105	1150.0	48.749113638928996
106	1155.0	48.82280967414936
107	1160.0	48.86862761501485
108	1165.0	48.96850536336176
109	1170.0	49.01163311003769
110	1175.0	49.110611589349524
111	1180.0	49.16406273422259
112	1185.0	49.20986289434236
113	1190.0	49.33974347220464
114	1195.0	49.344151187418156
115	1200.0	49.476600635213096
116	1205.0	49.538915834025886
117	1210.0	49.565086186400755
118	1215.0	49.65732778889981
119	1220.0	49.73955394737765
120	1225.0	49.798178487736685
121	1230.0	49.844063981506174
122	1235.0	49.909455574232034
123	1240.0	49.9809670273136
124	1245.0	50.075506745684365
125	1250.0	50.09291263628093
126	1255.0	50.13741010265554
127	1260.0	50.1875172831647
128	1265.0	50.25999984125666
129	1270.0	50.30841790271493
130	1275.0	50.41391112777389
131	1280.0	50.499418430856
132	1285.0	50.57883156197987
133	1290.0	50.62523284955278
134	1290.0	50.62523284955278
135	1290.0	50.62523284955278
