#X	Y	Z	HWP	pmt_signal	pmt1_signal	time
43.0002	34.9998	64.0013	0.0	7.2e-05	0.001303	1523464533.249958
-0.2902	35.0064	63.9984	0.0	7.7e-05	0.000191	1523464533.349964
0.991	34.9978	64.0004	0.0	6.6e-05	0.000191	1523464533.419968
2.0026	34.9979	64.0012	0.0	7.1e-05	0.000278	1523464533.485972
3.0033	34.9986	64.0004	0.0	7e-05	0.000208	1523464533.548975
4.0082	34.998	64.0013	0.0	8.9e-05	0.000174	1523464533.615979
5.0134	34.999	63.9985	0.0	7.5e-05	0.000208	1523464533.694984
6.0138	34.9987	64.0002	0.0	6.6e-05	0.000191	1523464533.756987
7.0183	34.9977	63.9999	0.0	6.8e-05	0.000226	1523464533.814991
8.0209	34.9993	63.9984	0.0	0.000244	0.000208	1523464533.878994
9.0245	34.9992	64.0007	0.0	7e-05	0.000208	1523464533.943998
10.0274	34.9983	64.0016	0.0	0.00019	0.000191	1523464534.008002
11.0279	34.9999	63.9989	0.0	6.8e-05	0.000191	1523464534.075006
12.0314	34.9982	63.9987	0.0	9.4e-05	0.000226	1523464534.142009
13.0307	34.9991	63.9992	0.0	7.1e-05	0.000156	1523464534.204013
14.0362	34.9981	64.0008	0.0	9.1e-05	0.000208	1523464534.268016
15.0377	34.9996	64.0018	0.0	7e-05	0.000191	1523464534.33102
16.0405	34.9992	64.0027	0.0	7.3e-05	0.000782	1523464534.393023
17.0417	34.9994	64.0004	0.0	7.7e-05	0.000608	1523464534.455027
18.0423	34.9993	63.9996	0.0	7.8e-05	0.000486	1523464534.514031
19.0451	34.9989	64.0012	0.0	8.2e-05	0.00099	1523464534.575034
20.047	34.9991	64.0004	0.0	5.6e-05	0.00059	1523464534.638037
21.0478	35.001	63.9993	0.0	6.3e-05	0.000295	1523464534.699041
22.0481	34.9983	63.9996	0.0	7.8e-05	0.000139	1523464534.761045
23.0534	34.9995	64.0019	0.0	7.8e-05	0.000208	1523464534.818048
24.0517	35.0	63.9999	0.0	7.7e-05	0.000191	1523464534.878051
25.053	34.9992	64.0004	0.0	6.6e-05	0.000191	1523464534.941055
26.0541	35.0007	64.0	0.0	8.7e-05	0.000156	1523464535.004059
27.0555	34.9997	64.0009	0.0	7.5e-05	0.000209	1523464535.065062
28.0596	34.9986	64.0012	0.0	7.7e-05	0.000191	1523464535.123065
29.0607	34.9993	64.0003	0.0	6.3e-05	0.000191	1523464535.188069
30.0606	34.9991	63.9998	0.0	6.1e-05	0.000226	1523464535.247072
31.0616	35.0	64.0005	0.0	7.8e-05	0.000191	1523464535.307076
32.0639	34.9994	63.9998	0.0	7.7e-05	0.000191	1523464535.363079
33.0487	34.9998	63.999	0.0	8.2e-05	0.000122	1523464535.434083
34.0509	35.0001	63.9992	0.0	9.1e-05	0.000174	1523464535.503087
35.0437	35.0003	64.0015	0.0	8.2e-05	0.001946	1523464535.588092
36.0606	35.0002	64.0004	0.0	7.7e-05	0.00033	1523464535.651096
37.0648	34.9998	63.9992	0.0	7.5e-05	0.000313	1523464535.710099
38.07	34.9984	63.9995	0.0	5.8e-05	0.000417	1523464535.767102
39.0701	34.9993	64.0002	0.0	7.1e-05	0.000434	1523464535.827106
40.0716	34.9993	64.0005	0.0	7.1e-05	0.000625	1523464535.887109
41.0711	34.9999	64.0008	0.0	6.6e-05	0.000799	1523464535.944112
42.0735	34.9991	64.0016	0.0	8e-05	0.006307	1523464536.004116
43.0718	34.9995	64.0	0.0	7e-05	0.001442	1523464536.07812
44.0665	34.9997	63.9998	0.0	6.8e-05	0.001997	1523464536.145124
45.0684	34.9997	64.0006	0.0	6.1e-05	0.000712	1523464536.209127
46.0699	34.9992	63.9994	0.0	6.8e-05	0.002015	1523464536.278131
47.0714	34.9995	64.0015	0.0	7.1e-05	0.000347	1523464536.342135
48.0732	34.998	64.0002	0.0	7.2e-05	0.000625	1523464536.410139
49.071	34.9988	64.0012	0.0	0.000237	0.000869	1523464536.478143
50.0703	34.9996	63.9982	0.0	7.3e-05	0.000746	1523464536.541147
