#X	Y	Z	HWP	pmt_signal	pmt1_signal	time
51.0733	35.0004	63.9992	0.0	7.3e-05	0.000243	1523464536.60415
52.0668	35.0004	64.0008	0.0	5.1e-05	0.000191	1523464536.681154
53.0687	34.9996	64.0008	0.0	7.7e-05	0.000208	1523464536.750158
54.0696	34.9991	63.9993	0.0	7.1e-05	0.000191	1523464536.813162
55.0703	35.0004	64.0025	0.0	7.2e-05	0.000591	1523464536.887166
56.071	34.9997	64.0003	0.0	6.6e-05	0.000226	1523464536.95117
57.0761	34.9996	64.0014	0.0	6.8e-05	0.000104	1523464537.010173
58.0741	34.9989	63.9992	0.0	0.000223	0.000139	1523464537.081177
59.0708	34.9991	64.0005	0.0	6.8e-05	0.000174	1523464537.156182
60.0707	34.9983	64.0	0.0	0.000222	0.000156	1523464537.226186
61.0728	34.9992	64.0012	0.0	9.6e-05	0.000174	1523464537.294189
62.0741	34.9993	63.9995	0.0	0.000258	0.000156	1523464537.361193
63.074	34.9996	64.0007	0.0	0.00024	0.000156	1523464537.428197
64.0752	34.9982	64.0	0.0	0.000234	0.000191	1523464537.496201
65.075	34.9992	64.0002	0.0	0.000131	0.000191	1523464537.565205
66.076	34.9999	64.0007	0.0	5.7e-05	0.000174	1523464537.631209
67.0753	34.9992	64.0009	0.0	0.000235	0.000208	1523464537.697213
68.0734	34.9987	63.998	0.0	0.000113	0.000139	1523464537.764216
69.0784	35.0	64.0013	0.0	7.5e-05	0.000191	1523464537.837221
70.0738	34.9999	64.0006	0.0	4.9e-05	0.000122	1523464537.899224
71.0708	35.0015	64.0006	0.0	6.8e-05	0.000156	1523464537.969228
72.0763	34.9997	64.0004	0.0	5.1e-05	0.000122	1523464538.040232
73.0765	34.9976	64.0013	0.0	5.8e-05	0.000208	1523464538.109236
74.0764	34.999	64.0007	0.0	7.1e-05	0.000208	1523464538.17424
75.0772	34.9981	63.9994	0.0	8e-05	0.000156	1523464538.244244
76.076	34.9982	64.0015	0.0	0.000211	0.000174	1523464538.311248
77.0754	34.9973	64.0004	0.0	7.1e-05	0.000139	1523464538.377252
78.0764	34.9983	64.0005	0.0	5.8e-05	0.000226	1523464538.448256
79.0771	34.9998	64.0011	0.0	5.9e-05	0.000191	1523464538.52026
80.074	34.9998	63.999	0.0	5.4e-05	0.000174	1523464538.591264
81.0766	34.9985	64.0016	0.0	0.000108	0.000174	1523464538.660268
82.0791	34.9998	63.9998	0.0	5.9e-05	0.000208	1523464538.730272
83.0762	34.9993	64.0	0.0	8.2e-05	0.000365	1523464538.804276
84.0769	34.9998	64.0005	0.0	6.8e-05	0.000121	1523464538.87028
85.067	34.9998	64.0004	0.0	6.6e-05	0.000243	1523464538.948284
86.0741	34.9992	64.0006	0.0	6.4e-05	0.000139	1523464539.017288
87.0768	34.9994	64.0009	0.0	5.1e-05	0.000156	1523464539.084292
88.0768	34.9999	63.9996	0.0	6.3e-05	0.000226	1523464539.157296
89.0787	34.9978	63.9998	0.0	8.7e-05	0.000174	1523464539.2263
90.0797	34.9994	64.0011	0.0	0.00015	0.000174	1523464539.294304
91.0782	35.0011	64.0001	0.0	0.000211	0.000174	1523464539.368308
92.0787	34.9991	64.0018	0.0	0.00018	0.000174	1523464539.438312
93.0777	34.999	63.9998	0.0	0.000346	0.000156	1523464539.508316
94.0771	34.9986	64.0003	0.0	0.000478	0.000122	1523464539.57332
95.0765	34.9994	64.001	0.0	0.000978	0.000122	1523464539.639324
96.0798	34.9983	64.001	0.0	0.000995	0.000174	1523464539.708328
97.0775	34.9985	63.9992	0.0	0.001976	0.000122	1523464539.776331
98.0761	34.9987	63.9994	0.0	0.002582	0.000139	1523464539.848336
