#X	Y	Z	HWP	pmt_signal	pmt1_signal	time
60.0036	39.9991	70.0715	0.0	0.000271	0.000156	1523464731.741311
60.0023	39.9992	71.071	0.0	0.000604	0.000104	1523464731.792314
60.0021	39.999	72.068	0.0	0.000646	0.000122	1523464731.840317
60.0014	39.9981	73.0711	0.0	0.000499	6.9e-05	1523464731.89232
60.002	39.9984	74.0699	0.0	0.000377	5.2e-05	1523464731.939323
60.0004	39.9989	75.0714	0.0	0.000286	3.5e-05	1523464731.986325
60.002	39.9984	76.0707	0.0	0.000408	1.7e-05	1523464732.038328
60.0029	39.9986	77.0721	0.0	0.000336	5.2e-05	1523464732.092331
60.0008	40.0002	78.0436	0.0	0.000382	7e-05	1523464732.163335
60.0002	39.999	79.0584	0.0	0.000327	5.2e-05	1523464732.223339
60.001	39.9988	80.0616	0.0	0.000388	3.5e-05	1523464732.284342
60.0002	39.9982	81.0634	0.0	0.000343	0.000156	1523464732.342346
60.0013	39.9999	82.0689	0.0	0.000624	5.2e-05	1523464732.392349
60.0021	39.9981	83.0703	0.0	0.000312	3.5e-05	1523464732.439351
60.0005	39.9986	84.072	0.0	0.000443	3.5e-05	1523464732.487354
60.001	39.9988	85.0684	0.0	0.000388	6.9e-05	1523464732.537357
60.0037	39.9986	86.073	0.0	0.000497	3.5e-05	1523464732.58536
59.9995	39.9982	87.0731	0.0	0.00045	5.2e-05	1523464732.630362
60.0007	39.9985	88.0738	0.0	0.000432	3.5e-05	1523464732.675364
60.0016	39.9993	89.0691	0.0	0.000196	3.5e-05	1523464732.723367
59.9985	39.9983	90.0709	0.0	0.000437	5.2e-05	1523464732.77137
59.9999	39.9985	91.0723	0.0	0.000229	1.7e-05	1523464732.822373
60.0013	39.9982	92.0723	0.0	0.0003	3.5e-05	1523464732.874376
60.0015	39.9995	93.0696	0.0	0.000241	3.5e-05	1523464732.93338
59.9986	39.9985	94.0637	0.0	0.000388	3.5e-05	1523464732.992383
60.001	39.9993	95.0672	0.0	0.000289	1.7e-05	1523464733.048386
60.0022	39.9978	96.0705	0.0	0.000358	3.5e-05	1523464733.100389
60.0012	39.9989	97.0679	0.0	0.000204	3.5e-05	1523464733.159393
60.004	39.9975	98.0679	0.0	0.000315	3.5e-05	1523464733.212395
